idea_id,x,y,title,domain
44,8.5009775,3.2438514,Autonomous Optimization Tool for Crop Health,gaming
45,-7.748595,11.684803,Smart Monitoring Platform for Waste Management,smart_cities
46,-4.032127,-2.4080307,Smart Monitoring Platform for Student Performance,transport
47,11.098707,-7.528479,Predictive Analytics System for Urban Traffic Flow,mental_health
48,15.617804,4.2085485,Intelligent Recommendation Engine for Air Quality In Cities,robotics
49,0.13825935,-1.0876968,Smart Monitoring Platform for Energy Consumption,finance
50,0.1043411,-1.1043136,Autonomous Optimization Tool for Energy Consumption,smart_cities
51,2.874023,14.875124,AI Assistant for Supply Chain Logistics,space
52,-8.193772,12.342764,AI Assistant for Waste Management,transport
53,9.886472,-5.485085,Smart Monitoring Platform for Urban Traffic Flow,robotics
54,0.5818925,-4.286154,AI Assistant for Energy Consumption,retail
55,-0.81251675,-4.5093217,Autonomous Optimization Tool for Personal Finance Habits,mental_health
56,9.0883045,2.2637734,Intelligent Recommendation Engine for Crop Health,healthcare
57,0.969672,-3.5710948,Intelligent Recommendation Engine for Energy Consumption,cybersecurity
58,-8.308851,12.565063,AI Assistant for Waste Management,social
59,15.419207,3.9321585,Predictive Analytics System for Air Quality In Cities,retail
60,-1.7606639,-4.249418,Smart Monitoring Platform for Personal Finance Habits,transport
61,8.473939,2.477899,Smart Monitoring Platform for Crop Health,transport
62,-0.9891529,-1.7384472,AI Assistant for Personal Finance Habits,environment
63,9.721999,-5.257119,Predictive Analytics System for Urban Traffic Flow,finance
64,2.6058624,-1.6379466,Predictive Analytics System for Mental Wellness Patterns,transport
65,1.2601976,-4.139151,Smart Monitoring Platform for Energy Consumption,food_tech
66,-0.6224445,0.0024980202,Autonomous Optimization Tool for Student Performance,productivity
67,-1.573826,-0.24555087,Autonomous Optimization Tool for Fitness Activity Tracking,environment
68,-8.016531,11.50234,Smart Monitoring Platform for Waste Management,energy
69,3.508785,-1.8853469,AI Assistant for Mental Wellness Patterns,energy
70,11.282415,-6.827686,Autonomous Optimization Tool for Urban Traffic Flow,social
71,9.642373,0.8537134,Autonomous Optimization Tool for Crop Health,mental_health
72,-0.5219967,-0.10155812,AI Assistant for Student Performance,smart_cities
73,0.8388225,-4.450866,Smart Monitoring Platform for Energy Consumption,environment
74,0.414825,-4.212746,AI Assistant for Energy Consumption,fitness
75,11.465153,-7.3128977,Autonomous Optimization Tool for Urban Traffic Flow,mental_health
76,0.6838667,-3.961421,Predictive Analytics System for Energy Consumption,healthcare
77,16.168982,6.0401206,Predictive Analytics System for Air Quality In Cities,cybersecurity
78,2.966189,-0.855918,Intelligent Recommendation Engine for Mental Wellness Patterns,education
79,-4.6930327,-2.2773817,Predictive Analytics System for Student Performance,social
80,10.861724,-6.725979,Smart Monitoring Platform for Urban Traffic Flow,finance
81,-1.6514565,-4.046344,Smart Monitoring Platform for Personal Finance Habits,gaming
82,-7.737941,11.552359,Smart Monitoring Platform for Waste Management,mental_health
83,3.0871434,13.933339,Intelligent Recommendation Engine for Supply Chain Logistics,retail
84,-0.64643127,-1.6324018,Autonomous Optimization Tool for Personal Finance Habits,smart_cities
85,2.727227,-2.0726671,Smart Monitoring Platform for Mental Wellness Patterns,retail
86,1.1343173,15.0311575,Smart Monitoring Platform for Supply Chain Logistics,transport
87,-0.9757307,-4.675079,AI Assistant for Personal Finance Habits,food_tech
88,-8.1712055,11.851759,Autonomous Optimization Tool for Waste Management,mental_health
89,-4.3238735,-2.104153,Autonomous Optimization Tool for Student Performance,food_tech
90,10.826027,-6.753302,Smart Monitoring Platform for Urban Traffic Flow,space
91,16.337675,5.787682,Predictive Analytics System for Air Quality In Cities,social
92,-0.767485,0.15875359,Intelligent Recommendation Engine for Student Performance,cybersecurity
93,8.2515955,2.4982245,Smart Monitoring Platform for Crop Health,social
94,-1.0890297,-3.9720788,Autonomous Optimization Tool for Personal Finance Habits,space
95,-7.80221,11.541349,Smart Monitoring Platform for Waste Management,productivity
96,8.665385,2.749603,Predictive Analytics System for Crop Health,robotics
97,0.7993913,-3.9406352,Predictive Analytics System for Energy Consumption,education
98,8.342037,2.4440658,Smart Monitoring Platform for Crop Health,cybersecurity
99,-4.4871955,0.8422371,Autonomous Optimization Tool for Fitness Activity Tracking,agriculture
100,-4.2940845,0.3398266,Autonomous Optimization Tool for Fitness Activity Tracking,smart_cities
101,-3.8408253,0.43459925,AI Assistant for Fitness Activity Tracking,fitness
102,8.24208,2.9351964,Autonomous Optimization Tool for Crop Health,smart_cities
103,10.097405,-7.2075295,Autonomous Optimization Tool for Urban Traffic Flow,smart_cities
104,11.000922,-6.9313045,AI Assistant for Urban Traffic Flow,finance
105,-8.354197,12.384694,Autonomous Optimization Tool for Waste Management,education
106,9.709668,0.8042363,AI Assistant for Crop Health,retail
107,2.1038227,13.95738,Predictive Analytics System for Supply Chain Logistics,transport
108,9.66927,0.8924567,Smart Monitoring Platform for Crop Health,cybersecurity
109,11.317331,-7.183172,Autonomous Optimization Tool for Urban Traffic Flow,healthcare
110,-0.8228657,-3.8746889,Autonomous Optimization Tool for Personal Finance Habits,social
111,3.7251275,-1.875889,AI Assistant for Mental Wellness Patterns,energy
112,2.260316,14.659065,Autonomous Optimization Tool for Supply Chain Logistics,social
113,-7.04926,11.867239,Smart Monitoring Platform for Waste Management,robotics
114,1.4860187,-3.87394,Autonomous Optimization Tool for Energy Consumption,smart_cities
115,10.898375,-7.5030594,Predictive Analytics System for Urban Traffic Flow,productivity
116,-1.4544362,-0.29336846,Predictive Analytics System for Fitness Activity Tracking,retail
117,-3.935148,0.94954896,Smart Monitoring Platform for Fitness Activity Tracking,space
118,1.2074128,-0.6661331,Predictive Analytics System for Mental Wellness Patterns,mental_health
119,10.864296,-7.5845423,Intelligent Recommendation Engine for Urban Traffic Flow,healthcare
120,-4.047366,-1.1437858,Predictive Analytics System for Student Performance,fitness
121,-8.1938305,11.771606,Autonomous Optimization Tool for Waste Management,finance
122,9.108279,2.283637,Intelligent Recommendation Engine for Crop Health,productivity
123,-4.209139,-2.6529284,Smart Monitoring Platform for Student Performance,education
124,8.233534,3.0057597,Autonomous Optimization Tool for Crop Health,cybersecurity
125,1.3545364,-0.5248804,Intelligent Recommendation Engine for Mental Wellness Patterns,retail
126,1.230311,-4.2633176,Predictive Analytics System for Energy Consumption,gaming
127,-0.730198,0.17387849,Intelligent Recommendation Engine for Student Performance,gaming
128,9.702465,0.78301984,AI Assistant for Crop Health,finance
129,0.44905064,-3.8751893,Intelligent Recommendation Engine for Energy Consumption,fitness
130,8.330394,3.1080601,Autonomous Optimization Tool for Crop Health,finance
131,16.283945,4.9664946,Intelligent Recommendation Engine for Air Quality In Cities,mental_health
132,-1.1598471,-4.4765205,AI Assistant for Personal Finance Habits,education
133,-5.1406794,-2.1449966,Predictive Analytics System for Student Performance,smart_cities
134,3.0331726,-1.8578535,Autonomous Optimization Tool for Mental Wellness Patterns,productivity
135,8.839871,2.63948,Predictive Analytics System for Crop Health,mental_health
136,0.82587165,-3.5288353,Intelligent Recommendation Engine for Energy Consumption,retail
137,10.980236,-7.5266166,Predictive Analytics System for Urban Traffic Flow,robotics
138,3.0719805,13.876956,Intelligent Recommendation Engine for Supply Chain Logistics,energy
139,-4.0735273,-2.537905,Smart Monitoring Platform for Student Performance,mental_health
140,-6.8933725,12.121602,Autonomous Optimization Tool for Waste Management,mental_health
141,16.316133,5.839633,Predictive Analytics System for Air Quality In Cities,transport
142,0.9348853,15.116883,Smart Monitoring Platform for Supply Chain Logistics,food_tech
143,8.708744,3.5197947,AI Assistant for Crop Health,agriculture
144,0.75075716,-4.722503,AI Assistant for Energy Consumption,transport
145,9.913092,-5.527737,Smart Monitoring Platform for Urban Traffic Flow,fitness
146,-3.904033,-0.6796213,Predictive Analytics System for Fitness Activity Tracking,productivity
147,2.543692,14.859538,Autonomous Optimization Tool for Supply Chain Logistics,healthcare
148,-1.7395003,-4.1349006,Smart Monitoring Platform for Personal Finance Habits,social
149,0.11765815,-1.0810559,Smart Monitoring Platform for Energy Consumption,social
150,3.0323389,-0.89913,Intelligent Recommendation Engine for Mental Wellness Patterns,retail
151,2.7454624,-2.135836,Smart Monitoring Platform for Mental Wellness Patterns,smart_cities
152,-3.89651,-0.33484182,Predictive Analytics System for Fitness Activity Tracking,smart_cities
153,2.4225295,13.918904,Predictive Analytics System for Supply Chain Logistics,food_tech
154,-3.9684148,0.78746784,Smart Monitoring Platform for Fitness Activity Tracking,robotics
155,0.9984197,15.134199,Smart Monitoring Platform for Supply Chain Logistics,environment
156,3.043635,-0.9535956,Intelligent Recommendation Engine for Mental Wellness Patterns,food_tech
157,10.7114935,-7.1560264,AI Assistant for Urban Traffic Flow,healthcare
158,-4.443831,-0.19658259,Intelligent Recommendation Engine for Fitness Activity Tracking,gaming
159,-1.3026898,-3.6054688,Predictive Analytics System for Personal Finance Habits,space
160,-7.607814,12.993451,Intelligent Recommendation Engine for Waste Management,transport
161,1.0938584,-4.512563,AI Assistant for Energy Consumption,social
162,-0.46642095,-1.4119725,Predictive Analytics System for Personal Finance Habits,education
163,-3.538938,0.42235783,AI Assistant for Fitness Activity Tracking,finance
164,-0.19251092,-0.8278726,Predictive Analytics System for Energy Consumption,energy
165,2.157136,13.860625,Predictive Analytics System for Supply Chain Logistics,fitness
166,0.79255193,-4.400621,Smart Monitoring Platform for Energy Consumption,retail
167,11.069072,-7.467515,Predictive Analytics System for Urban Traffic Flow,agriculture
168,-6.9101105,12.110225,AI Assistant for Waste Management,education
169,-5.4913116,-2.1782753,Autonomous Optimization Tool for Student Performance,robotics
170,3.125554,-1.9220722,Autonomous Optimization Tool for Mental Wellness Patterns,environment
171,8.442959,3.2984369,Autonomous Optimization Tool for Crop Health,agriculture
172,-1.0358254,-3.9225342,Autonomous Optimization Tool for Personal Finance Habits,retail
173,1.113408,-0.5651511,Smart Monitoring Platform for Mental Wellness Patterns,robotics
174,-1.2250217,-4.0173054,Autonomous Optimization Tool for Personal Finance Habits,transport
175,-4.060348,-2.601736,Smart Monitoring Platform for Student Performance,healthcare
176,0.6924669,-4.2764473,Autonomous Optimization Tool for Energy Consumption,agriculture
177,-8.3007765,12.197135,Autonomous Optimization Tool for Waste Management,mental_health
178,2.6163492,-2.2138705,Smart Monitoring Platform for Mental Wellness Patterns,finance
179,-7.897404,11.440317,Smart Monitoring Platform for Waste Management,mental_health
180,-4.6221924,-2.2096095,Predictive Analytics System for Student Performance,robotics
181,2.75017,-1.5836815,Predictive Analytics System for Mental Wellness Patterns,social
182,3.0345364,-0.87975925,Intelligent Recommendation Engine for Mental Wellness Patterns,productivity
183,10.666187,-7.099585,AI Assistant for Urban Traffic Flow,finance
184,1.0363662,-4.224818,AI Assistant for Energy Consumption,agriculture
185,-4.5357985,-0.024220759,Intelligent Recommendation Engine for Fitness Activity Tracking,gaming
186,1.3004497,-4.3024235,Smart Monitoring Platform for Energy Consumption,environment
187,-7.9230723,13.099344,Intelligent Recommendation Engine for Waste Management,finance
188,-4.480442,0.7554577,Autonomous Optimization Tool for Fitness Activity Tracking,food_tech
189,-0.99631524,-4.0284176,Autonomous Optimization Tool for Personal Finance Habits,agriculture
190,-1.3424985,-3.6572998,Predictive Analytics System for Personal Finance Habits,healthcare
191,-7.635423,12.900881,Intelligent Recommendation Engine for Waste Management,fitness
192,0.9626019,-3.577341,Intelligent Recommendation Engine for Energy Consumption,food_tech
193,-1.6152645,-0.23715836,AI Assistant for Fitness Activity Tracking,education
194,2.8953514,13.640962,Intelligent Recommendation Engine for Supply Chain Logistics,finance
195,-1.6065102,-0.23784268,Autonomous Optimization Tool for Fitness Activity Tracking,fitness
196,-8.654695,11.912448,Predictive Analytics System for Waste Management,energy
197,-8.363939,12.277951,Autonomous Optimization Tool for Waste Management,agriculture
198,2.8586757,-1.6285343,Predictive Analytics System for Mental Wellness Patterns,agriculture
199,-4.537257,0.36335787,Autonomous Optimization Tool for Fitness Activity Tracking,gaming
200,9.704988,0.8576647,Predictive Analytics System for Crop Health,agriculture
201,-4.509632,0.950076,Autonomous Optimization Tool for Fitness Activity Tracking,agriculture
202,9.288158,2.276765,Intelligent Recommendation Engine for Crop Health,cybersecurity
203,-5.074189,-1.7046012,Intelligent Recommendation Engine for Student Performance,productivity
204,-5.5391054,-2.1913548,AI Assistant for Student Performance,healthcare
205,-1.0038975,-3.2651463,Intelligent Recommendation Engine for Personal Finance Habits,smart_cities
206,15.529729,5.83575,Autonomous Optimization Tool for Air Quality In Cities,smart_cities
207,-5.3232903,-2.0628495,Predictive Analytics System for Student Performance,productivity
208,15.580809,5.843191,Autonomous Optimization Tool for Air Quality In Cities,transport
209,16.01724,6.043539,Predictive Analytics System for Air Quality In Cities,environment
210,8.718895,2.7307959,Predictive Analytics System for Crop Health,healthcare
211,10.159254,-7.253578,Autonomous Optimization Tool for Urban Traffic Flow,gaming
212,0.924323,15.08515,Smart Monitoring Platform for Supply Chain Logistics,fitness
213,-7.6798573,11.654331,Smart Monitoring Platform for Waste Management,robotics
214,10.871505,-6.6262755,Smart Monitoring Platform for Urban Traffic Flow,smart_cities
215,9.80153,-5.388911,AI Assistant for Urban Traffic Flow,energy
216,-4.9473944,-1.757023,Intelligent Recommendation Engine for Student Performance,food_tech
217,9.771225,-5.3473477,Autonomous Optimization Tool for Urban Traffic Flow,energy
218,-4.600746,-2.635919,AI Assistant for Student Performance,productivity
219,3.568886,-1.990351,AI Assistant for Mental Wellness Patterns,environment
220,15.535524,4.089421,Intelligent Recommendation Engine for Air Quality In Cities,finance
221,8.268685,2.6057823,Smart Monitoring Platform for Crop Health,finance
222,-5.102754,-1.7085623,Intelligent Recommendation Engine for Student Performance,mental_health
223,9.748431,-5.3196473,Autonomous Optimization Tool for Urban Traffic Flow,agriculture
224,8.666247,3.5784154,AI Assistant for Crop Health,gaming
225,15.077831,6.071586,AI Assistant for Air Quality In Cities,agriculture
226,15.602478,5.7829456,Autonomous Optimization Tool for Air Quality In Cities,education
227,15.611416,4.1818137,Intelligent Recommendation Engine for Air Quality In Cities,environment
228,-3.786276,-0.43698227,Predictive Analytics System for Fitness Activity Tracking,finance
229,15.6205015,4.2033477,Intelligent Recommendation Engine for Air Quality In Cities,fitness
230,-4.2758822,-2.5825593,Smart Monitoring Platform for Student Performance,smart_cities
231,-0.45115507,-1.4009581,Predictive Analytics System for Personal Finance Habits,education
232,3.0306115,14.536164,AI Assistant for Supply Chain Logistics,gaming
233,2.4271026,14.798765,Autonomous Optimization Tool for Supply Chain Logistics,healthcare
234,-3.9500732,-0.45772874,Predictive Analytics System for Fitness Activity Tracking,environment
235,-4.320744,0.45529997,Autonomous Optimization Tool for Fitness Activity Tracking,mental_health
236,-4.2720556,-2.508939,Smart Monitoring Platform for Student Performance,robotics
237,2.7893422,14.244106,Autonomous Optimization Tool for Supply Chain Logistics,education
238,-7.78131,11.535303,Smart Monitoring Platform for Waste Management,retail
239,0.64085424,-4.495856,Autonomous Optimization Tool for Energy Consumption,robotics
240,1.1874713,-0.637818,Autonomous Optimization Tool for Mental Wellness Patterns,cybersecurity
241,1.0904964,-4.061784,Predictive Analytics System for Energy Consumption,cybersecurity
242,-0.9313347,-4.6299987,AI Assistant for Personal Finance Habits,food_tech
243,1.0338421,15.213457,Smart Monitoring Platform for Supply Chain Logistics,energy
244,1.8111845,-3.6569915,Autonomous Optimization Tool for Energy Consumption,mental_health
245,-3.9658139,0.8383536,Smart Monitoring Platform for Fitness Activity Tracking,robotics
246,10.431405,-7.719284,Intelligent Recommendation Engine for Urban Traffic Flow,retail
247,2.7132506,-1.4969487,Predictive Analytics System for Mental Wellness Patterns,education
248,-4.509191,0.8277395,Autonomous Optimization Tool for Fitness Activity Tracking,agriculture
249,15.44251,3.9259827,Predictive Analytics System for Air Quality In Cities,education
250,-1.0414032,-4.585255,AI Assistant for Personal Finance Habits,food_tech
251,3.0349588,-2.2147095,Smart Monitoring Platform for Mental Wellness Patterns,productivity
252,-0.65312487,0.034693465,Autonomous Optimization Tool for Student Performance,social
253,15.533907,5.9155006,Autonomous Optimization Tool for Air Quality In Cities,gaming
254,8.717905,3.6666985,AI Assistant for Crop Health,productivity
255,9.253997,2.5227613,Intelligent Recommendation Engine for Crop Health,fitness
256,-4.4172626,-0.20350063,Intelligent Recommendation Engine for Fitness Activity Tracking,gaming
257,10.508219,-6.847209,Smart Monitoring Platform for Urban Traffic Flow,food_tech
258,1.539238,-3.8702874,Smart Monitoring Platform for Energy Consumption,energy
259,3.1325388,-1.9609488,Autonomous Optimization Tool for Mental Wellness Patterns,environment
260,2.2395535,15.161147,Autonomous Optimization Tool for Supply Chain Logistics,space
261,9.314192,2.5267856,Intelligent Recommendation Engine for Crop Health,finance
262,-6.924716,12.321103,Intelligent Recommendation Engine for Waste Management,social
263,-8.435002,12.139981,Autonomous Optimization Tool for Waste Management,retail
264,-1.6247172,-0.23858987,Intelligent Recommendation Engine for Fitness Activity Tracking,space
265,-3.7260695,0.041323546,AI Assistant for Fitness Activity Tracking,agriculture
266,-3.6785192,0.100143686,AI Assistant for Fitness Activity Tracking,agriculture
267,3.4274995,-2.1150482,Autonomous Optimization Tool for Mental Wellness Patterns,cybersecurity
268,16.27457,5.788531,Predictive Analytics System for Air Quality In Cities,environment
269,15.464964,6.8057685,Smart Monitoring Platform for Air Quality In Cities,healthcare
270,2.7577271,-1.9918724,Smart Monitoring Platform for Mental Wellness Patterns,agriculture
271,-4.1329556,0.8935185,Smart Monitoring Platform for Fitness Activity Tracking,healthcare
272,-0.22918814,-1.3703802,Smart Monitoring Platform for Personal Finance Habits,energy
273,10.286032,-7.571648,Predictive Analytics System for Urban Traffic Flow,finance
274,-3.916719,0.5068695,AI Assistant for Fitness Activity Tracking,cybersecurity
275,9.327353,2.4044063,Intelligent Recommendation Engine for Crop Health,productivity
276,0.23505434,-1.0256321,Smart Monitoring Platform for Energy Consumption,mental_health
277,-4.339639,-1.9507954,Autonomous Optimization Tool for Student Performance,mental_health
278,15.582171,5.8503613,Autonomous Optimization Tool for Air Quality In Cities,finance
279,-1.3441234,-3.581553,Predictive Analytics System for Personal Finance Habits,finance
280,-4.319057,-2.2049448,Predictive Analytics System for Student Performance,food_tech
281,-4.36776,-0.2576965,Intelligent Recommendation Engine for Fitness Activity Tracking,education
282,10.719043,-6.643184,Smart Monitoring Platform for Urban Traffic Flow,smart_cities
283,-4.174913,0.9558701,Smart Monitoring Platform for Fitness Activity Tracking,healthcare
284,3.109304,-1.9216063,Autonomous Optimization Tool for Mental Wellness Patterns,mental_health
285,10.640231,-6.746804,Smart Monitoring Platform for Urban Traffic Flow,robotics
286,10.467922,-7.0523815,Smart Monitoring Platform for Urban Traffic Flow,mental_health
287,2.8972924,14.367647,AI Assistant for Supply Chain Logistics,transport
288,-4.6183505,-2.559909,Autonomous Optimization Tool for Student Performance,transport
289,-8.431007,12.205153,Autonomous Optimization Tool for Waste Management,gaming
290,-4.1617117,-2.4449055,Smart Monitoring Platform for Student Performance,fitness
291,15.4322195,6.6017923,Smart Monitoring Platform for Air Quality In Cities,fitness
292,0.10369906,-1.144815,Smart Monitoring Platform for Energy Consumption,finance
293,-8.359532,12.391091,Autonomous Optimization Tool for Waste Management,education
294,1.1625082,-0.61619836,Smart Monitoring Platform for Mental Wellness Patterns,fitness
295,15.439799,6.7949066,Smart Monitoring Platform for Air Quality In Cities,energy
296,-5.0865874,-1.6737403,Intelligent Recommendation Engine for Student Performance,social
297,8.479711,3.3768263,Autonomous Optimization Tool for Crop Health,social
298,11.142505,-7.16196,AI Assistant for Urban Traffic Flow,fitness
299,8.294928,2.6023471,Smart Monitoring Platform for Crop Health,space
300,-3.7490342,0.1149559,AI Assistant for Fitness Activity Tracking,space
301,2.7749462,13.46666,Intelligent Recommendation Engine for Supply Chain Logistics,productivity
302,16.236414,4.876073,Intelligent Recommendation Engine for Air Quality In Cities,space
303,10.283155,-7.26511,Smart Monitoring Platform for Urban Traffic Flow,social
304,1.3023175,14.936033,Smart Monitoring Platform for Supply Chain Logistics,retail
305,2.8768659,14.822221,AI Assistant for Supply Chain Logistics,transport
306,15.007993,6.1075416,AI Assistant for Air Quality In Cities,finance
307,2.579844,14.327768,Autonomous Optimization Tool for Supply Chain Logistics,healthcare
308,15.418479,6.889554,Smart Monitoring Platform for Air Quality In Cities,food_tech
309,10.814978,-7.6252327,Intelligent Recommendation Engine for Urban Traffic Flow,fitness
310,-8.589022,11.877921,Predictive Analytics System for Waste Management,productivity
311,8.787938,3.4458811,AI Assistant for Crop Health,productivity
312,11.182631,-7.1664886,Autonomous Optimization Tool for Urban Traffic Flow,fitness
313,-0.84878266,-4.6492314,AI Assistant for Personal Finance Habits,energy
314,-5.029172,-1.6978284,Intelligent Recommendation Engine for Student Performance,transport
315,-5.185079,-2.0512097,Smart Monitoring Platform for Student Performance,fitness
316,9.79522,-5.3235583,Predictive Analytics System for Urban Traffic Flow,agriculture
317,-8.593864,11.885981,Predictive Analytics System for Waste Management,space
318,0.7365211,14.778121,Smart Monitoring Platform for Supply Chain Logistics,mental_health
319,2.6700504,-1.6672207,Predictive Analytics System for Mental Wellness Patterns,energy
320,8.748554,2.5796444,Predictive Analytics System for Crop Health,environment
321,15.043952,5.9799757,AI Assistant for Air Quality In Cities,productivity
322,2.3392296,14.604702,Autonomous Optimization Tool for Supply Chain Logistics,mental_health
323,-8.2342415,12.3738985,AI Assistant for Waste Management,transport
324,2.427517,13.93852,Predictive Analytics System for Supply Chain Logistics,robotics
325,-3.8801112,0.06684927,Autonomous Optimization Tool for Fitness Activity Tracking,energy
326,0.7542856,-3.4415734,Intelligent Recommendation Engine for Energy Consumption,space
327,16.212076,4.845945,Intelligent Recommendation Engine for Air Quality In Cities,space
328,10.827969,-7.743225,Intelligent Recommendation Engine for Urban Traffic Flow,agriculture
329,3.679176,-1.9415123,AI Assistant for Mental Wellness Patterns,cybersecurity
330,-4.1658993,0.38039118,AI Assistant for Fitness Activity Tracking,gaming
331,-4.3249297,-1.9519035,Autonomous Optimization Tool for Student Performance,energy
332,9.308682,2.521295,Intelligent Recommendation Engine for Crop Health,fitness
333,9.15459,2.6078963,Intelligent Recommendation Engine for Crop Health,fitness
334,3.2281353,-2.1245046,Autonomous Optimization Tool for Mental Wellness Patterns,cybersecurity
335,0.7117531,14.772496,Smart Monitoring Platform for Supply Chain Logistics,mental_health
336,10.748012,-6.672968,Smart Monitoring Platform for Urban Traffic Flow,smart_cities
337,2.682104,14.179425,Autonomous Optimization Tool for Supply Chain Logistics,environment
338,-4.6614485,-2.309213,Predictive Analytics System for Student Performance,healthcare
339,8.74995,3.2397594,AI Assistant for Crop Health,robotics
340,8.953628,2.1744816,Predictive Analytics System for Crop Health,environment
341,-7.063251,11.783106,Smart Monitoring Platform for Waste Management,retail
342,-7.566587,12.94361,Intelligent Recommendation Engine for Waste Management,agriculture
343,-7.9590473,11.496789,Smart Monitoring Platform for Waste Management,fitness
344,-0.8372669,-4.4308653,Autonomous Optimization Tool for Personal Finance Habits,agriculture
345,-4.09011,0.9640461,Smart Monitoring Platform for Fitness Activity Tracking,education
346,-1.0035651,-4.663146,AI Assistant for Personal Finance Habits,education
347,15.08393,5.938985,AI Assistant for Air Quality In Cities,social
348,-8.094746,12.15742,Autonomous Optimization Tool for Waste Management,healthcare
349,-3.883112,-0.42800033,Predictive Analytics System for Fitness Activity Tracking,environment
350,1.4077518,-3.9308822,Autonomous Optimization Tool for Energy Consumption,transport
351,8.343892,2.6105719,Smart Monitoring Platform for Crop Health,social
352,0.99707633,-4.505528,AI Assistant for Energy Consumption,cybersecurity
353,-4.2925706,0.3330445,Smart Monitoring Platform for Fitness Activity Tracking,gaming
354,9.305087,2.481066,Intelligent Recommendation Engine for Crop Health,gaming
355,15.575081,6.079565,Autonomous Optimization Tool for Air Quality In Cities,space
356,-3.8583972,0.6529029,AI Assistant for Fitness Activity Tracking,education
357,15.036796,6.0902114,AI Assistant for Air Quality In Cities,retail
358,15.459385,3.9661348,Predictive Analytics System for Air Quality In Cities,fitness
359,-0.9294254,-3.3892097,Intelligent Recommendation Engine for Personal Finance Habits,robotics
360,1.2042773,-0.6560666,AI Assistant for Mental Wellness Patterns,energy
361,-4.314577,-0.2587549,Intelligent Recommendation Engine for Fitness Activity Tracking,fitness
362,-1.0517999,-3.3245778,Intelligent Recommendation Engine for Personal Finance Habits,food_tech
363,1.1429726,-0.6102597,Smart Monitoring Platform for Mental Wellness Patterns,agriculture
